Year,State,Treatment,NTFP,gdp,NFTP in tons
2014,Gujarat,0,218494.69,128068.00,24084.89
2015,Gujarat,0,190895.2,139327.00,21042.57
2016,Gujarat,0,248158,150862.00,27354.70
2017,Gujarat,1,266539.6,163090.00,29380.93
2018,Gujarat,1,217230.61,177645.00,23945.55
2019,Gujarat,1,264717.92,188303.00,29180.12
2020,Gujarat,1,328836.51,223776.00,36247.98
2021,Gujarat,1,2745.32,236745.00,302.62
2014,Chhattisgarh,0,142309.54,68685.00,15686.92
2015,Chhattisgarh,0,199145.54,69329.00,21952.01
2016,Chhattisgarh,0,53129.74,76506.00,5856.54
2017,Chhattisgarh,0,128089.49,77556.00,14119.43
2018,Chhattisgarh,0,5074.48,82413.00,559.37
2019,Chhattisgarh,0,72188.66,85259.00,7957.43
2020,Chhattisgarh,0,637402,82419.00,70261.46
2021,Chhattisgarh,0,342299.8,104943.00,37732.05
